welcome.started,welcome.stopped,welcome_key_input.keys,welcome_key_input.rt,welcome_key_input.duration,trial.started,trial.stopped,image_key_input.keys,wait.started,wait.stopped,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,loops.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,break_2.started,break_2.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_key_input.rt,image_key_input.duration
0.0018,1.0822,space,0.0518,,1.0846,4.0818,,4.0821,5.0818,0,0,0,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,,
,,,,,5.0831,12.0813,,12.0815,13.0813,1,0,1,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,,
,,,,,13.0827,18.0813,,18.0814,19.0804,2,0,2,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,,
,,,,,19.0816,22.0814,,22.0815,23.0805,3,0,3,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,,
,,,,,23.0819,29.0813,,29.0814,30.0812,4,0,4,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,,
,,,,,,,,,,,,,,,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,30.0819,35.1156,0,0,0,0,1,,
35.1176,39.1984,space,3.0508,,39.2,46.1979,,46.198,47.1969,0,0,0,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,,
,,,,,47.1982,53.1968,space,53.1969,54.1969,1,0,1,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,0.5852,
,,,,,54.1981,59.1978,space,59.198,60.1978,2,0,2,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,0.4281,
,,,,,60.199,66.1969,space,66.1971,67.1971,3,0,3,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,0.5602,
,,,,,67.1982,74.1979,space,74.1979,75.1968,4,0,4,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,0.4398,
,,,,,,,,,,,,,,,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,75.1971,80.2153,1,0,1,0,1,,
80.2181,82.6808,space,1.4363,,82.6818,85.6806,space,85.6806,86.681,0,0,0,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,1.8751,
,,,,,86.6823,90.681,space,90.6811,91.6809,1,0,1,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,0.5415,
,,,,,91.6821,97.6807,space,97.6808,98.6809,2,0,2,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,0.4777,
,,,,,98.6821,101.681,space,101.6811,102.6801,3,0,3,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,0.4939,
,,,,,102.6813,106.6803,space,106.6805,107.6803,4,0,4,0,1,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,,,,,,,,0.6077,
,,,,,,,,,,,,,,,142323,001,2025-06-25_12h32.47.626,image_shower,2024.2.4,MacIntel,61.72839506,107.6805,112.7151,2,0,2,0,1,,
