welcome.started,welcome.stopped,welcome_key_input.keys,welcome_key_input.rt,welcome_key_input.duration,trial.started,trial.stopped,image_key_input.keys,wait.started,wait.stopped,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,loops.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,image_key_input.rt,image_key_input.duration,break_2.started,break_2.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
0.0017,1.5408,space,0.5165,,1.5436,5.5403,,5.5406,6.5395,0,0,0,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,6.5411,11.54,,11.5401,12.54,1,0,1,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,12.5413,18.5399,,18.5401,19.5398,2,0,2,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,19.5413,25.5398,space,25.5399,26.5399,3,0,3,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,0.8004,,,,,,,,
,,,,,26.5412,31.5398,,31.5399,32.5398,4,0,4,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,,,,,,,,,,,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,32.5405,37.5741,0,0,0,0,1
37.5761,43.8568,space,5.251,,43.8586,49.8564,,49.8566,50.8563,0,0,0,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,50.8576,57.8559,,57.8559,58.8563,1,0,1,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,58.8575,64.8563,,64.8565,65.8563,2,0,2,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,,,
,,,,,65.8575,72.8562,space,72.8564,73.8562,3,0,3,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,2.3128,,,,,,,,
,,,,,73.8577,79.8563,space,79.8564,80.8562,4,0,4,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,1.0747,,,,,,,,
,,,,,,,,,,,,,,,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,80.8564,85.8904,1,0,1,0,1
85.8926,87.2893,space,0.3672,,87.2899,91.2896,space,91.2896,92.2895,0,0,0,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,1.4316,,,,,,,,
,,,,,92.2908,99.2895,space,99.2896,100.2895,1,0,1,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,0.4948,,,,,,,,
,,,,,100.2906,107.2895,space,107.2895,108.2894,2,0,2,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,0.5615,,,,,,,,
,,,,,108.2903,113.2894,space,113.2895,114.2894,3,0,3,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,0.7282,,,,,,,,
,,,,,114.2905,121.2894,space,121.2894,122.2884,4,0,4,0,1,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,1.5612,,,,,,,,
,,,,,,,,,,,,,,,446456,001,2025-06-25_12h27.30.792,image_shower,2024.2.4,MacIntel,59.88023952,,,122.2886,127.3049,2,0,2,0,1
