welcome.started,welcome.stopped,welcome_key_input.keys,welcome_key_input.rt,welcome_key_input.duration,trial.started,trial.stopped,image_key_input.keys,image_key_input.rt,image_key_input.duration,wait.started,wait.stopped,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,loops.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,break_2.started,break_2.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
0.0017,10.7567,space,9.737,,10.7588,13.7573,space,1.0062,,13.7576,14.7573,0,0,0,0,1,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,,,,,,,
,,,,,14.7589,17.757,space,0.4468,,17.7571,18.757,1,0,1,0,1,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,,,,,,,
,,,,,18.7583,21.757,space,0.5056,,21.7572,22.7569,2,0,2,0,1,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,,,,,,,
,,,,,,,,,,,,,,,,,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,22.7575,27.7902,0,0,0,0,1
27.7928,30.1071,space,1.2843,,30.1085,33.106,space,0.5779,,33.106,34.1068,0,0,0,0,1,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,,,,,,,
,,,,,34.1082,37.1068,space,0.4422,,37.107,38.1068,1,0,1,0,1,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,,,,,,,
,,,,,38.108,41.1069,space,0.4397,,41.107,42.1059,2,0,2,0,1,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,,,,,,,
,,,,,,,,,,,,,,,,,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,42.106,47.1242,1,0,1,0,1
47.1266,48.5904,space,0.4341,,48.5922,51.5902,space,0.6454,,51.5904,52.5901,0,0,0,0,1,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,,,,,,,
,,,,,52.5912,55.5903,space,0.3467,,55.5903,56.5901,1,0,1,0,1,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,,,,,,,
,,,,,56.5912,59.5901,space,0.4901,,59.5902,60.5901,2,0,2,0,1,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,,,,,,,
,,,,,,,,,,,,,,,,,650726,001,2025-03-17_13h59.54.626,image_shower,2024.2.4,MacIntel,62.89308176,60.5903,65.6241,2,0,2,0,1
