welcome.started,welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,wait.started,wait.stopped,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,loops.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,break_2.started,break_2.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
0.0023,3.0907,space,2.0702,,3.0928,6.0905,space,0.4898,,6.091,7.0902,0,0,0,0,1,202929,001,2025-03-12_15h58.39.658,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,7.0913,10.0902,space,0.3806,,10.0903,11.0901,1,0,1,0,1,202929,001,2025-03-12_15h58.39.658,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,11.0912,14.0901,space,0.3286,,14.0901,15.09,2,0,2,0,1,202929,001,2025-03-12_15h58.39.658,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,,,,,,,,,,,,,202929,001,2025-03-12_15h58.39.658,image_shower,2024.2.4,MacIntel,59.88023952,15.0906,25.1244,0,0,0,0,1
25.1265,26.4568,space,0.3094,,26.4584,29.4567,,,,29.4567,30.4566,0,0,0,0,1,202929,001,2025-03-12_15h58.39.658,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,30.4578,33.4566,space,0.9585,,33.4567,34.4566,1,0,1,0,1,202929,001,2025-03-12_15h58.39.658,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,34.4576,37.4566,space,1.1085,,37.4567,38.4565,2,0,2,0,1,202929,001,2025-03-12_15h58.39.658,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,,,,,,,,,,,,,202929,001,2025-03-12_15h58.39.658,image_shower,2024.2.4,MacIntel,59.88023952,38.4567,48.4906,1,0,1,0,1
