welcome.started,welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,wait.started,wait.stopped,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,loops.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,break_2.started,break_2.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
0.0007,9.7833,space,8.7592,,9.7854,12.7829,space,1.1072,,12.7832,13.7829,0,0,0,0,1,144437,001,2025-03-11_14h51.31.684,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,13.7841,16.7826,space,0.457,,16.7827,17.7825,1,0,1,0,1,144437,001,2025-03-11_14h51.31.684,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,17.7837,20.7826,space,0.5835,,20.7827,21.782,2,0,2,0,1,144437,001,2025-03-11_14h51.31.684,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,,,,,,,,,,,,,144437,001,2025-03-11_14h51.31.684,image_shower,2024.2.4,MacIntel,59.88023952,21.7825,31.817,0,0,0,0,1
31.8178,37.8327,space,4.9872,,37.8342,40.8325,,,,40.8326,41.8324,0,0,0,0,1,144437,001,2025-03-11_14h51.31.684,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,41.8335,44.8325,space,1.0073,,44.8325,45.8324,1,0,1,0,1,144437,001,2025-03-11_14h51.31.684,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
,,,,,45.8336,48.8324,,,,48.8325,49.8325,2,0,2,0,1,144437,001,2025-03-11_14h51.31.684,image_shower,2024.2.4,MacIntel,59.88023952,,,,,,,
